date,year,host_country,stage,home_team,away_team,home_score,away_score,winning_team,losing_team
07-02-1982,1982,Spain,Group B,Spain,West Germany,1,2,West Germany,Spain
07-04-1982,1982,Spain,Group D,France,Northern Ireland,4,1,France,Northern Ireland
07-04-1982,1982,Spain,Group A,Poland,Soviet Union,0,0,NR,NR
07-05-1982,1982,Spain,Group C,Italy,Brazil,3,2,Italy,Brazil
07-05-1982,1982,Spain,Group B,Spain,England,0,0,NR,NR
07-08-1982,1982,Spain,Semifinals,West Germany,France,3,3,West Germany,France
07-08-1982,1982,Spain,Semifinals,Poland,Italy,0,2,Italy,Poland
07-10-1982,1982,Spain,Third place,Poland,France,3,2,Poland,France
07-11-1982,1982,Spain,Final,Italy,West Germany,3,1,Italy,West Germany
05-31-1986,1986,Mexico,Group A,Bulgaria,Italy,1,1,NR,NR
06-01-1986,1986,Mexico,Group C,Canada,France,0,1,France,Canada
06-01-1986,1986,Mexico,Group D,Spain,Brazil,0,1,Brazil,Spain
06-02-1986,1986,Mexico,Group A,Argentina,South Korea,3,1,Argentina,South Korea
06-02-1986,1986,Mexico,Group F,Morocco,Poland,0,0,NR,NR
06-02-1986,1986,Mexico,Group C,Soviet Union,Hungary,6,0,Soviet Union,Hungary
06-03-1986,1986,Mexico,Group D,Algeria,Northern Ireland,1,1,NR,NR
06-03-1986,1986,Mexico,Group B,Mexico,Belgium,2,1,Mexico,Belgium
06-03-1986,1986,Mexico,Group F,Portugal,England,1,0,Portugal,England
06-04-1986,1986,Mexico,Group B,Paraguay,Iraq,1,0,Paraguay,Iraq
06-04-1986,1986,Mexico,Group E,Scotland,Denmark,0,1,Denmark,Scotland
06-04-1986,1986,Mexico,Group E,Uruguay,West Germany,1,1,NR,NR
06-05-1986,1986,Mexico,Group C,France,Soviet Union,1,1,NR,NR
06-05-1986,1986,Mexico,Group A,Italy,Argentina,1,1,NR,NR
06-05-1986,1986,Mexico,Group A,South Korea,Bulgaria,1,1,NR,NR
06-06-1986,1986,Mexico,Group D,Brazil,Algeria,1,0,Brazil,Algeria
06-06-1986,1986,Mexico,Group F,England,Morocco,0,0,NR,NR
06-06-1986,1986,Mexico,Group C,Hungary,Canada,2,0,Hungary,Canada
06-07-1986,1986,Mexico,Group B,Mexico,Paraguay,1,1,NR,NR
06-07-1986,1986,Mexico,Group D,Northern Ireland,Spain,1,2,Spain,Northern Ireland
06-07-1986,1986,Mexico,Group F,Poland,Portugal,1,0,Poland,Portugal
06-08-1986,1986,Mexico,Group E,Denmark,Uruguay,6,1,Denmark,Uruguay
06-08-1986,1986,Mexico,Group E,West Germany,Scotland,2,1,West Germany,Scotland
06-08-1986,1986,Mexico,Group B,Iraq,Belgium,1,2,Belgium,Iraq
06-09-1986,1986,Mexico,Group C,Hungary,France,0,3,France,Hungary
06-09-1986,1986,Mexico,Group C,Soviet Union,Canada,2,0,Soviet Union,Canada
06-10-1986,1986,Mexico,Group A,Argentina,Bulgaria,2,0,Argentina,Bulgaria
06-10-1986,1986,Mexico,Group A,South Korea,Italy,2,3,Italy,South Korea
06-11-1986,1986,Mexico,Group F,England,Poland,3,0,England,Poland
06-11-1986,1986,Mexico,Group B,Mexico,Iraq,1,0,Mexico,Iraq
06-11-1986,1986,Mexico,Group B,Paraguay,Belgium,2,2,NR,NR
06-11-1986,1986,Mexico,Group F,Portugal,Morocco,1,3,Morocco,Portugal
06-12-1986,1986,Mexico,Group D,Algeria,Spain,0,3,Spain,Algeria
06-12-1986,1986,Mexico,Group D,Northern Ireland,Brazil,0,3,Brazil,Northern Ireland
06-13-1986,1986,Mexico,Group E,Denmark,West Germany,2,0,Denmark,West Germany
06-13-1986,1986,Mexico,Group E,Scotland,Uruguay,0,0,NR,NR
06-15-1986,1986,Mexico,Round of 16,Mexico,Bulgaria,2,0,Mexico,Bulgaria
06-15-1986,1986,Mexico,Round of 16,Soviet Union,Belgium,3,4,Belgium,Soviet Union
06-16-1986,1986,Mexico,Round of 16,Argentina,Uruguay,1,0,Argentina,Uruguay
06-16-1986,1986,Mexico,Round of 16,Brazil,Poland,4,0,Brazil,Poland
06-17-1986,1986,Mexico,Round of 16,Italy,France,0,2,France,Italy
06-17-1986,1986,Mexico,Round of 16,Morocco,West Germany,0,1,West Germany,Morocco
06-18-1986,1986,Mexico,Round of 16,Denmark,Spain,1,5,Spain,Denmark
06-18-1986,1986,Mexico,Round of 16,England,Paraguay,3,0,England,Paraguay
06-21-1986,1986,Mexico,Quarterfinals,Brazil,France,1,1,France,Brazil
06-21-1986,1986,Mexico,Quarterfinals,Mexico,West Germany,0,0,West Germany,Mexico
06-22-1986,1986,Mexico,Quarterfinals,Argentina,England,2,1,Argentina,England
06-22-1986,1986,Mexico,Quarterfinals,Spain,Belgium,1,1,Belgium,Spain
06-25-1986,1986,Mexico,Semifinals,Argentina,Belgium,2,0,Argentina,Belgium
06-25-1986,1986,Mexico,Semifinals,France,West Germany,0,2,West Germany,France
06-28-1986,1986,Mexico,Third place,France,Belgium,4,2,France,Belgium
06-29-1986,1986,Mexico,Final,Argentina,West Germany,3,2,Argentina,West Germany
06-08-1990,1990,Italy,Group B,Argentina,Cameroon,0,1,Cameroon,Argentina
06-09-1990,1990,Italy,Group A,Italy,Austria,1,0,Italy,Austria
06-09-1990,1990,Italy,Group B,Soviet Union,Romania,0,2,Romania,Soviet Union
06-09-1990,1990,Italy,Group D,United Arab Emirates,Colombia,0,2,Colombia,United Arab Emirates
06-10-1990,1990,Italy,Group C,Brazil,Sweden,2,1,Brazil,Sweden
06-10-1990,1990,Italy,Group D,West Germany,Yugoslavia,4,1,West Germany,Yugoslavia
06-10-1990,1990,Italy,Group A,USA,Czechoslovakia,1,5,Czechoslovakia,USA
06-11-1990,1990,Italy,Group C,Costa Rica,Scotland,1,0,Costa Rica,Scotland
06-11-1990,1990,Italy,Group F,England,Republic of Ireland,1,1,NR,NR
06-12-1990,1990,Italy,Group E,Belgium,South Korea,2,0,Belgium,South Korea
06-12-1990,1990,Italy,Group F,Netherlands,Egypt,1,1,NR,NR
06-13-1990,1990,Italy,Group B,Argentina,Soviet Union,2,0,Argentina,Soviet Union
06-13-1990,1990,Italy,Group E,Uruguay,Spain,0,0,NR,NR
06-14-1990,1990,Italy,Group B,Cameroon,Romania,2,1,Cameroon,Romania
06-14-1990,1990,Italy,Group A,Italy,USA,1,0,Italy,USA
06-14-1990,1990,Italy,Group D,Yugoslavia,Colombia,1,0,Yugoslavia,Colombia
06-15-1990,1990,Italy,Group A,Austria,Czechoslovakia,0,1,Czechoslovakia,Austria
06-15-1990,1990,Italy,Group D,West Germany,United Arab Emirates,5,1,West Germany,United Arab Emirates
06-16-1990,1990,Italy,Group C,Brazil,Costa Rica,1,0,Brazil,Costa Rica
06-16-1990,1990,Italy,Group F,England,Netherlands,0,0,NR,NR
06-16-1990,1990,Italy,Group C,Sweden,Scotland,1,2,Scotland,Sweden
06-17-1990,1990,Italy,Group E,Belgium,Uruguay,3,1,Belgium,Uruguay
06-17-1990,1990,Italy,Group F,Republic of Ireland,Egypt,0,0,NR,NR
06-17-1990,1990,Italy,Group E,South Korea,Spain,1,3,Spain,South Korea
06-18-1990,1990,Italy,Group B,Argentina,Romania,1,1,NR,NR
06-18-1990,1990,Italy,Group B,Cameroon,Soviet Union,0,4,Soviet Union,Cameroon
06-19-1990,1990,Italy,Group A,Austria,USA,2,1,Austria,USA
06-19-1990,1990,Italy,Group D,West Germany,Colombia,1,1,NR,NR
06-19-1990,1990,Italy,Group A,Italy,Czechoslovakia,2,0,Italy,Czechoslovakia
06-19-1990,1990,Italy,Group D,Yugoslavia,United Arab Emirates,4,1,Yugoslavia,United Arab Emirates
06-20-1990,1990,Italy,Group C,Brazil,Scotland,1,0,Brazil,Scotland
06-20-1990,1990,Italy,Group C,Sweden,Costa Rica,1,2,Costa Rica,Sweden
06-21-1990,1990,Italy,Group E,Belgium,Spain,1,2,Spain,Belgium
06-21-1990,1990,Italy,Group F,England,Egypt,1,0,England,Egypt
06-21-1990,1990,Italy,Group F,Republic of Ireland,Netherlands,1,1,NR,NR
06-21-1990,1990,Italy,Group E,South Korea,Uruguay,0,1,Uruguay,South Korea
06-23-1990,1990,Italy,Round of 16,Cameroon,Colombia,2,1,Cameroon,Colombia
06-23-1990,1990,Italy,Round of 16,Czechoslovakia,Costa Rica,4,1,Czechoslovakia,Costa Rica
06-24-1990,1990,Italy,Round of 16,Brazil,Argentina,0,1,Argentina,Brazil
06-24-1990,1990,Italy,Round of 16,West Germany,Netherlands,2,1,West Germany,Netherlands
06-25-1990,1990,Italy,Round of 16,Republic of Ireland,Romania,0,0,Republic of Ireland,Romania
06-25-1990,1990,Italy,Round of 16,Italy,Uruguay,2,0,Italy,Uruguay
06-26-1990,1990,Italy,Round of 16,England,Belgium,1,0,England,Belgium
06-26-1990,1990,Italy,Round of 16,Spain,Yugoslavia,1,2,Yugoslavia,Spain
06-30-1990,1990,Italy,Quarterfinals,Italy,Republic of Ireland,1,0,Italy,Republic of Ireland
06-30-1990,1990,Italy,Quarterfinals,Yugoslavia,Argentina,0,0,Argentina,Yugoslavia
07-01-1990,1990,Italy,Quarterfinals,Cameroon,England,2,3,England,Cameroon
07-01-1990,1990,Italy,Quarterfinals,West Germany,Czechoslovakia,1,0,West Germany,Czechoslovakia
07-03-1990,1990,Italy,Semifinals,Italy,Argentina,1,1,Argentina,Italy
07-04-1990,1990,Italy,Semifinals,West Germany,England,1,1,West Germany,England
07-07-1990,1990,Italy,Third place,Italy,England,2,1,Italy,England
07-08-1990,1990,Italy,Final,West Germany,Argentina,1,0,West Germany,Argentina
06-17-1994,1994,USA,Group C,Germany,Bolivia,1,0,Germany,Bolivia
06-17-1994,1994,USA,Group C,Spain,South Korea,2,2,NR,NR
06-18-1994,1994,USA,Group A,Colombia,Romania,1,3,Romania,Colombia
06-18-1994,1994,USA,Group E,Italy,Republic of Ireland,0,1,Republic of Ireland,Italy
06-18-1994,1994,USA,Group A,USA,Switzerland,1,1,NR,NR
06-19-1994,1994,USA,Group F,Belgium,Morocco,1,0,Belgium,Morocco
06-19-1994,1994,USA,Group B,Cameroon,Sweden,2,2,NR,NR
06-19-1994,1994,USA,Group E,Norway,Mexico,1,0,Norway,Mexico
06-20-1994,1994,USA,Group B,Brazil,Russia,2,0,Brazil,Russia
06-20-1994,1994,USA,Group F,Netherlands,Saudi Arabia,2,1,Netherlands,Saudi Arabia
06-21-1994,1994,USA,Group D,Argentina,Greece,4,0,Argentina,Greece
06-21-1994,1994,USA,Group C,Germany,Spain,1,1,NR,NR
06-21-1994,1994,USA,Group D,Nigeria,Bulgaria,3,0,Nigeria,Bulgaria
06-22-1994,1994,USA,Group A,Romania,Switzerland,1,4,Switzerland,Romania
06-22-1994,1994,USA, Group A,USA,Colombia,2,1,USA,Colombia
06-23-1994,1994,USA,Group E,Italy,Norway,1,0,Italy,Norway
06-23-1994,1994,USA,Group C,South Korea,Bolivia,0,0,NR,NR
06-24-1994,1994,USA,Group B,Brazil,Cameroon,3,0,Brazil,Cameroon
06-24-1994,1994,USA,Group E,Mexico,Republic of Ireland,2,1,Mexico,Republic of Ireland
06-24-1994,1994,USA,Group B,Sweden,Russia,3,1,Sweden,Russia
06-25-1994,1994,USA,Group D,Argentina,Nigeria,2,1,Argentina,Nigeria
06-25-1994,1994,USA,Group F,Belgium,Netherlands,1,0,Belgium,Netherlands
06-25-1994,1994,USA,Group F,Saudi Arabia,Morocco,2,1,Saudi Arabia,Morocco
06-26-1994,1994,USA,Group D,Bulgaria,Greece,4,0,Bulgaria,Greece
06-26-1994,1994,USA,Group A,Switzerland,Colombia,0,2,Colombia,Switzerland
06-26-1994,1994,USA,Group A,USA,Romania,0,1,Romania,USA
06-27-1994,1994,USA,Group C,Bolivia,Spain,1,3,Spain,Bolivia
06-27-1994,1994,USA,Group C,Germany,South Korea,3,2,Germany,South Korea
06-28-1994,1994,USA,Group B,Brazil,Sweden,1,1,NR,NR
06-28-1994,1994,USA,Group E,Republic of Ireland,Norway,0,0,NR,NR
06-28-1994,1994,USA,Group E,Italy,Mexico,1,1,NR,NR
06-28-1994,1994,USA,Group B,Russia,Cameroon,6,1,Russia,Cameroon
06-29-1994,1994,USA,Group F,Belgium,Saudi Arabia,0,1,Saudi Arabia,Belgium
06-29-1994,1994,USA,Group F,Morocco,Netherlands,1,2,Netherlands,Morocco
06-30-1994,1994,USA,Group D,Argentina,Bulgaria,0,2,Bulgaria,Argentina
06-30-1994,1994,USA,Group D,Greece,Nigeria,0,2,Nigeria,Greece
07-02-1994,1994,USA,Round of 16,Germany,Belgium,3,2,Germany,Belgium
07-02-1994,1994,USA,Round of 16,Spain,Switzerland,3,0,Spain,Switzerland
07-03-1994,1994,USA,Round of 16,Romania,Argentina,3,2,Romania,Argentina
07-03-1994,1994,USA,Round of 16,Saudi Arabia,Sweden,1,3,Sweden,Saudi Arabia
07-04-1994,1994,USA,Round of 16,Netherlands,Republic of Ireland,2,0,Netherlands,Republic of Ireland
07-04-1994,1994,USA,Round of 16,USA,Brazil,0,1,Brazil,USA
07-05-1994,1994,USA,Round of 16,Mexico,Bulgaria,1,1,Bulgaria,Mexico
07-05-1994,1994,USA,Round of 16,Nigeria,Italy,1,2,Italy,Nigeria
07-09-1994,1994,USA,Quarterfinals,Italy,Spain,2,1,Italy,Spain
07-09-1994,1994,USA,Quarterfinals,Netherlands,Brazil,2,3,Brazil,Netherlands
07-10-1994,1994,USA,Quarterfinals,Bulgaria,Germany,2,1,Bulgaria,Germany
07-10-1994,1994,USA,Quarterfinals,Romania,Sweden,2,2,Sweden,Romania
07-13-1994,1994,USA,Semifinals,Bulgaria,Italy,1,2,Italy,Bulgaria
07-13-1994,1994,USA,Semifinals,Sweden,Brazil,0,1,Brazil,Sweden
07-16-1994,1994,USA,Third place,Sweden,Bulgaria,4,0,Sweden,Bulgaria
07-17-1994,1994,USA,Final,Brazil,Italy,0,0,Brazil,Italy
06-10-1998,1998,France,Group A,Brazil,Scotland,2,1,Brazil,Scotland
06-10-1998,1998,France,Group A,Morocco,Norway,2,2,NR,NR
06-11-1998,1998,France,Group B,Cameroon,Austria,1,1,NR,NR
06-11-1998,1998,France,Group B,Italy,Chile,2,2,NR,NR
06-12-1998,1998,France,Group C,France,South Africa,3,0,France,South Africa
06-12-1998,1998,France,Group D,Paraguay,Bulgaria,0,0,NR,NR
06-12-1998,1998,France,Group C,Saudi Arabia,Denmark,0,1,Denmark,Saudi Arabia
06-13-1998,1998,France,Group E,South Korea,Mexico,1,3,Mexico,South Korea
06-13-1998,1998,France,Group E,Netherlands,Belgium,0,0,NR,NR
06-13-1998,1998,France,Group D,Spain,Nigeria,2,3,Nigeria,Spain
06-14-1998,1998,France,Group H,Argentina,Japan,1,0,Argentina,Japan
06-14-1998,1998,France,Group H,Jamaica,Croatia,1,3,Croatia,Jamaica
06-14-1998,1998,France,Group F,FR Yugoslavia,Iran,1,0,FR Yugoslavia,Iran
06-15-1998,1998,France,Group G,England,Tunisia,2,0,England,Tunisia
06-15-1998,1998,France,Group F,Germany,USA,2,0,Germany,USA
06-15-1998,1998,France,Group G,Romania,Colombia,1,0,Romania,Colombia
06-16-1998,1998,France,Group A,Brazil,Morocco,3,0,Brazil,Morocco
06-16-1998,1998,France,Group A,Scotland,Norway,1,1,NR,NR
06-17-1998,1998,France,Group B,Chile,Austria,1,1,NR,NR
06-17-1998,1998,France,Group B,Italy,Cameroon,3,0,Italy,Cameroon
06-18-1998,1998,France,Group C,France,Saudi Arabia,4,0,France,Saudi Arabia
06-18-1998,1998,France,Group C,South Africa,Denmark,1,1,NR,NR
06-19-1998,1998,France,Group D,Nigeria,Bulgaria,1,0,Nigeria,Bulgaria
06-19-1998,1998,France,Group D,Spain,Paraguay,0,0,NR,NR
06-20-1998,1998,France,Group E,Belgium,Mexico,2,2,NR,NR
06-20-1998,1998,France,Group H,Japan,Croatia,0,1,Croatia,Japan
06-20-1998,1998,France,Group E,Netherlands,South Korea,5,0,Netherlands,South Korea
06-21-1998,1998,France,Group H,Argentina,Jamaica,5,0,Argentina,Jamaica
06-21-1998,1998,France,Group F,Germany,FR Yugoslavia,2,2,NR,NR
06-21-1998,1998,France,Group F,USA,Iran,1,2,Iran,USA
06-22-1998,1998,France,Group G,Colombia,Tunisia,1,0,Colombia,Tunisia
06-22-1998,1998,France,Group G,Romania,England,2,1,Romania,England
06-23-1998,1998,France,Group A,Brazil,Norway,1,2,Norway,Brazil
06-23-1998,1998,France,Group B,Chile,Cameroon,1,1,NR,NR
06-23-1998,1998,France,Group B,Italy,Austria,2,1,Italy,Austria
06-23-1998,1998,France,Group A,Scotland,Morocco,0,3,Morocco,Scotland
06-24-1998,1998,France,Group C,France,Denmark,2,1,France,Denmark
06-24-1998,1998,France,Group D,Nigeria,Paraguay,1,3,Paraguay,Nigeria
06-24-1998,1998,France,Group C,South Africa,Saudi Arabia,2,2,NR,NR
06-24-1998,1998,France,Group D,Spain,Bulgaria,6,1,Spain,Bulgaria
06-25-1998,1998,France,Group E,Belgium,South Korea,1,1,NR,NR
06-25-1998,1998,France,Group F,Germany,Iran,2,0,Germany,Iran
06-25-1998,1998,France,Group E,Netherlands,Mexico,2,2,NR,NR
06-25-1998,1998,France,Group F,USA,Serbia,0,1,Serbia,USA
06-26-1998,1998,France,Group H,Argentina,Croatia,1,0,Argentina,Croatia
06-26-1998,1998,France,Group G,Colombia,England,0,2,England,Colombia
06-26-1998,1998,France,Group H,Japan,Jamaica,1,2,Jamaica,Japan
06-26-1998,1998,France,Group G,Romania,Tunisia,1,1,NR,NR
06-27-1998,1998,France,Round of 16,Brazil,Chile,4,1,Brazil,Chile
06-27-1998,1998,France,Round of 16,Italy,Norway,1,0,Italy,Norway
06-28-1998,1998,France,Round of 16,France,Paraguay,1,0,France,Paraguay
06-28-1998,1998,France,Round of 16,Nigeria,Denmark,1,4,Denmark,Nigeria
06-29-1998,1998,France,Round of 16,Germany,Mexico,2,1,Germany,Mexico
06-29-1998,1998,France,Round of 16,Netherlands,FR Yugoslavia,2,1,Netherlands,FR Yugoslavia
06-30-1998,1998,France,Round of 16,Argentina,England,2,2,Argentina,England
06-30-1998,1998,France,Round of 16,Romania,Croatia,0,1,Croatia,Romania
07-03-1998,1998,France,Quarterfinals,Brazil,Denmark,3,2,Brazil,Denmark
07-03-1998,1998,France,Quarterfinals,France,Italy,0,0,France,Italy
07-04-1998,1998,France,Quarterfinals,Germany,Croatia,0,3,Croatia,Germany
07-04-1998,1998,France,Quarterfinals,Netherlands,Argentina,2,1,Netherlands,Argentina
07-07-1998,1998,France,Semifinals,Brazil,Netherlands,1,1,Brazil,Netherlands
07-08-1998,1998,France,Semifinals,France,Croatia,2,1,France,Croatia
07-11-1998,1998,France,Third place,Netherlands,Croatia,1,2,Croatia,Netherlands
07-12-1998,1998,France,Final,France,Brazil,3,0,France,Brazil
05-31-2002,2002,South Korea,Group A,France,Senegal,0,1,Senegal,France
06-01-2002,2002,Japan,Group E,Germany,Saudi Arabia,8,0,Germany,Saudi Arabia
06-01-2002,2002,Japan,Group E,Republic of Ireland,Cameroon,1,1,NR,NR
06-01-2002,2002,South Korea,Group A,Uruguay,Denmark,1,2,Denmark,Uruguay
06-02-2002,2002,Japan,Group F,Argentina,Nigeria,1,0,Argentina,Nigeria
06-02-2002,2002,Japan,Group F,England,Sweden,1,1,NR,NR
06-02-2002,2002,South Korea,Group B,Paraguay,South Africa,2,2,NR,NR
06-02-2002,2002,South Korea,Group B,Spain,Slovenia,3,1,Spain,Slovenia
06-03-2002,2002,South Korea,Group C,Brazil,Turkey,2,1,Brazil,Turkey
06-03-2002,2002,Japan,Group G,Croatia,Mexico,0,1,Mexico,Croatia
06-03-2002,2002,Japan,Group G,Italy,Ecuador,2,0,Italy,Ecuador
06-04-2002,2002,South Korea,Group C,China PR,Costa Rica,0,2,Costa Rica,China PR
06-04-2002,2002,Japan,Group H,Japan,Belgium,2,2,NR,NR
06-04-2002,2002,South Korea,Group D,South Korea,Poland,2,0,South Korea,Poland
06-05-2002,2002,Japan,Group E,Germany,Republic of Ireland,1,1,NR,NR
06-05-2002,2002,Japan,Group H,Russia,Tunisia,2,0,Russia,Tunisia
06-05-2002,2002,South Korea,Group D,USA,Portugal,3,2,USA,Portugal
06-06-2002,2002,Japan,Group E,Cameroon,Saudi Arabia,1,0,Cameroon,Saudi Arabia
06-06-2002,2002,South Korea,Group A,Denmark,Senegal,1,1,NR,NR
06-06-2002,2002,South Korea,Group A,France,Uruguay,0,0,NR,NR
06-07-2002,2002,Japan,Group F,Argentina,England,0,1,England,Argentina
06-07-2002,2002,South Korea,Group B,Spain,Paraguay,3,1,Spain,Paraguay
06-07-2002,2002,Japan,Group F,Sweden,Nigeria,2,1,Sweden,Nigeria
06-08-2002,2002,South Korea,Group C,Brazil,China PR,4,0,Brazil,China PR
06-08-2002,2002,Japan,Group G,Italy,Croatia,1,2,Croatia,Italy
06-08-2002,2002,South Korea,Group B,South Africa,Slovenia,1,0,South Africa,Slovenia
06-09-2002,2002,South Korea,Group C,Costa Rica,Turkey,1,1,NR,NR
06-09-2002,2002,Japan,Group H,Japan,Russia,1,0,Japan,Russia
06-09-2002,2002,Japan,Group G,Mexico,Ecuador,2,1,Mexico,Ecuador
06-10-2002,2002,South Korea,Group D,South Korea,USA,1,1,NR,NR
06-10-2002,2002,South Korea,Group D,Portugal,Poland,4,0,Portugal,Poland
06-10-2002,2002,Japan,Group H,Tunisia,Belgium,1,1,NR,NR
06-11-2002,2002,Japan,Group E,Cameroon,Germany,0,2,Germany,Cameroon
06-11-2002,2002,South Korea,Group A,Denmark,France,2,0,Denmark,France
06-11-2002,2002,Japan,Group E,Saudi Arabia,Republic of Ireland,0,3,Republic of Ireland,Saudi Arabia
06-11-2002,2002,South Korea,Group A,Senegal,Uruguay,3,3,NR,NR
06-12-2002,2002,Japan,Group F,Nigeria,England,0,0,NR,NR
06-12-2002,2002,South Korea,Group B,Slovenia,Paraguay,1,3,Paraguay,Slovenia
06-12-2002,2002,South Korea,Group B,South Africa,Spain,2,3,Spain,South Africa
06-12-2002,2002,Japan,Group F,Sweden,Argentina,1,1,NR,NR
06-13-2002,2002,South Korea,Group C,Costa Rica,Brazil,2,5,Brazil,Costa Rica
06-13-2002,2002,Japan,Group G,Ecuador,Croatia,1,0,Ecuador,Croatia
06-13-2002,2002,Japan,Group G,Mexico,Italy,1,1,NR,NR
06-13-2002,2002,South Korea,Group C,Turkey,China PR,3,0,Turkey,China PR
06-14-2002,2002,Japan,Group H,Belgium,Russia,3,2,Belgium,Russia
06-14-2002,2002,Japan,Group H,Japan,Tunisia,2,0,Japan,Tunisia
06-14-2002,2002,South Korea,Group D,South Korea,Portugal,1,0,South Korea,Portugal
06-14-2002,2002,South Korea,Group D,Poland,USA,3,1,Poland,USA
06-15-2002,2002,Japan,Round of 16,Denmark,England,0,3,England,Denmark
06-15-2002,2002,South Korea,Round of 16,Germany,Paraguay,1,0,Germany,Paraguay
06-16-2002,2002,South Korea,Round of 16,Spain,Republic of Ireland,1,1,Spain,Republic of Ireland
06-16-2002,2002,Japan,Round of 16,Sweden,Senegal,1,2,Senegal,Sweden
06-17-2002,2002,Japan,Round of 16,Brazil,Belgium,2,0,Brazil,Belgium
06-17-2002,2002,South Korea,Round of 16,Mexico,USA,0,2,USA,Mexico
06-18-2002,2002,Japan,Round of 16,Japan,Turkey,0,1,Turkey,Japan
06-18-2002,2002,South Korea,Round of 16,South Korea,Italy,2,1,South Korea,Italy
06-21-2002,2002,Japan,Quarterfinals,England,Brazil,1,2,Brazil,England
06-21-2002,2002,South Korea,Quarterfinals,Germany,USA,1,0,Germany,USA
06-22-2002,2002,South Korea,Quarterfinals,South Korea,Spain,0,0,South Korea,Spain
06-22-2002,2002,Japan,Quarterfinals,Senegal,Turkey,0,1,Turkey,Senegal
06-25-2002,2002,South Korea,Semifinals,South Korea,Germany,0,1,Germany,South Korea
06-26-2002,2002,Japan,Semifinals,Brazil,Turkey,1,0,Brazil,Turkey
06-29-2002,2002,South Korea,Third place,South Korea,Turkey,2,3,Turkey,South Korea
06-30-2002,2002,Japan,Final,Germany,Brazil,0,2,Brazil,Germany
06-09-2006,2006,Germany,Group A,Germany,Costa Rica,4,2,Germany,Costa Rica
06-09-2006,2006,Germany,Group A,Poland,Ecuador,0,2,Ecuador,Poland
06-10-2006,2006,Germany,Group C,Argentina,Ivory Coast,2,1,Argentina,Ivory Coast
06-10-2006,2006,Germany,Group B,England,Paraguay,1,0,England,Paraguay
06-10-2006,2006,Germany,Group B,Trinidad and Tobago,Sweden,0,0,NR,NR
06-11-2006,2006,Germany,Group D,Angola,Portugal,0,1,Portugal,Angola
06-11-2006,2006,Germany,Group D,Mexico,Iran,3,1,Mexico,Iran
06-11-2006,2006,Germany,Group C,Serbia,Netherlands,0,1,Netherlands,Serbia
06-12-2006,2006,Germany,Group F,Australia,Japan,3,1,Australia,Japan
06-12-2006,2006,Germany,Group E,Italy,Ghana,2,0,Italy,Ghana
06-12-2006,2006,Germany,Group E,USA,Czech Republic,0,3,Czech Republic,USA
06-13-2006,2006,Germany,Group F,Brazil,Croatia,1,0,Brazil,Croatia
06-13-2006,2006,Germany,Group G,France,Switzerland,0,0,NR,NR
06-13-2006,2006,Germany,Group G,South Korea,Togo,2,1,South Korea,Togo
06-14-2006,2006,Germany,Group A,Germany,Poland,1,0,Germany,Poland
06-14-2006,2006,Germany,Group H,Spain,Ukraine,4,0,Spain,Ukraine
06-14-2006,2006,Germany,Group H,Tunisia,Saudi Arabia,2,2,NR,NR
06-15-2006,2006,Germany,Group A,Ecuador,Costa Rica,3,0,Ecuador,Costa Rica
06-15-2006,2006,Germany,Group B,England,Trinidad and Tobago,2,0,England,Trinidad and Tobago
06-15-2006,2006,Germany,Group B,Sweden,Paraguay,1,0,Sweden,Paraguay
06-16-2006,2006,Germany,Group C,Argentina,Serbia,6,0,Argentina,Serbia
06-16-2006,2006,Germany,Group D,Mexico,Angola,0,0,NR,NR
06-16-2006,2006,Germany,Group C,Netherlands,Ivory Coast,2,1,Netherlands,Ivory Coast
06-17-2006,2006,Germany,Group E,Czech Republic,Ghana,0,2,Ghana,Czech Republic
06-17-2006,2006,Germany,Group E,Italy,USA,1,1,NR,NR
06-17-2006,2006,Germany,Group D,Portugal,Iran,2,0,Portugal,Iran
06-18-2006,2006,Germany,Group F,Brazil,Australia,2,0,Brazil,Australia
06-18-2006,2006,Germany,Group G,France,South Korea,1,1,NR,NR
06-18-2006,2006,Germany,Group F,Japan,Croatia,0,0,NR,NR
06-19-2006,2006,Germany,Group H,Saudi Arabia,Ukraine,0,4,Ukraine,Saudi Arabia
06-19-2006,2006,Germany,Group H,Spain,Tunisia,3,1,Spain,Tunisia
06-19-2006,2006,Germany,Group G,Togo,Switzerland,0,2,Switzerland,Togo
06-20-2006,2006,Germany,Group A,Costa Rica,Poland,1,2,Poland,Costa Rica
06-20-2006,2006,Germany,Group A,Germany,Ecuador,3,0,Germany,Ecuador
06-20-2006,2006,Germany,Group B,Paraguay,Trinidad and Tobago,2,0,Paraguay,Trinidad and Tobago
06-20-2006,2006,Germany,Group B,Sweden,England,2,2,NR,NR
06-21-2006,2006,Germany,Group D,Iran,Angola,1,1,NR,NR
06-21-2006,2006,Germany,Group C,Ivory Coast,Serbia,3,2,Ivory Coast,Serbia
06-21-2006,2006,Germany,Group C,Netherlands,Argentina,0,0,NR,NR
06-21-2006,2006,Germany,Group D,Portugal,Mexico,2,1,Portugal,Mexico
06-22-2006,2006,Germany,Group F,Croatia,Australia,2,2,NR,NR
06-22-2006,2006,Germany,Group E,Czech Republic,Italy,0,2,Italy,Czech Republic
